dim_location
0,Paris
1,London
2,Seoul
3,New York
4,Los Angeles
5,Hong Kong
6,Madrid
7,Toronto
8,Sydney
9,Singapore
10,Shanghai
11,Melbourne
12,Moscow
13,D.C.
14,Sao Paulo
15,Chicago
16,Taipei
17,Beijing
18,Tokyo
19,Boston
20,"South Bay, CA"
21,Buenos Aires
22,Barcelona
23,Amsterdam
24,Seattle
25,Miami
26,Montreal
27,Guangzhou
28,Atlanta
29,Dallas
30,Berlin
31,Vancouver
32,Kuala Lumpur
33,Houston
34,San Francisco
35,Philadelphia
36,Milan
37,Brisbane
38,Bangkok
39,Mexico City
40,Rio De Janeiro
41,Dublin
42,Lyon
43,Rome
44,Phoenix
45,Copenhagen
46,Jakarta Capital Region
47,Portland
48,San Diego
49,Orlando
50,Istanbul
51,Umbria Countryside
52,Denver
53,Brussels
54,Stockholm
55,Minneapolis
56,Hangzhou
57,Perth
58,Munich
59,St Petersburg
60,Athens
61,Bogota
62,Hamburg
63,Austin
64,Chengdu
65,Lombardy
66,Lisbon
67,Vienna
68,Birmingham
69,Tel Aviv
70,Manchester
71,"East Bay, CA"
72,Nanjing
73,Baltimore
74,Oslo
75,Central Florida Gulf Coast
76,Coastal Orange County
77,Detroit
78,Rotterdam
79,Mumbai
80,Sacramento
81,Warsaw
82,Toulouse
83,Bordeaux
84,Santiago
85,Auckland
86,Budapest
87,Fairfield County
88,Dubai
89,Ottawa
90,Charlotte
91,Sicily
92,Prague
93,Lille
94,Costa de Valencia
95,Helsinki
96,Calgary
97,Raleigh
98,Las Vegas
99,South Florida Atlantic Coast
